_1,_2
"Alakanuk, AK",4.9616722453082325
"Fort Wayne, IN",4.947275442906002
"Noatak, AK",4.912568536558571
"Yakutat, AK",4.892150169850989
"Grayling, AK",4.877953025895192
"Tuntutuliak, AK",4.84664203149227
"Medford, OR",4.831904143675739
"Myrtle Beach, SC",4.799090217884159
"Nunapitchuk, AK",4.786200318936348
"Larsen Bay, AK",4.777482543771418
"Atmautluak, AK",4.7541383069453325
"St. George Island, AK",4.742648023815186
"Amook Bay, AK",4.694174102149221
"Boca Raton, FL",4.656928184379129
"Koliganek, AK",4.652846857757727
"Ambler, AK",4.622431322272495
"Chatham, MA",4.613830901808385
"Chefornak, AK",4.610133443719858
"Manchester, NH",4.605699627953752
"Naukiti, AK",4.584468357566152
"Portland, ME",4.5207320008792875
"Nantucket, MA",4.519213904764711
"Marshall, AK",4.483719884688067
"Shishmaref, AK",4.444050608365171
"Kivalina, AK",4.440852390705439
"Ekwok, AK",4.423776408121918
"Sandpoint, AK",4.417353754111601
"Tununak, AK",4.398269018040452
"Asheville, NC",4.389014251005612
"Nikolai, AK",4.361527903214411
"Quinhagak, AK",4.353935867847489
"Stebbins, AK",4.333332731982036
"Beaver, AK",4.292735255164092
"Russian Mission, AK",4.283469206768698
"Anaktuvuk Pass, AK",4.271342783905845
"Pilot Point, AK",4.248903091944739
"Lubbock, TX",4.214901135599609
"Port Alexander, AK",4.210681945709497
"Shungnak, AK",4.210265020740476
"Shaktoolik, AK",4.12686775112104
"Great Falls, MT",4.1025505635476005
"South Bend, IN",4.077951633116454
"Kotlik, AK",4.074929680158292
"Cordova, AK",4.0478312889669
"Port Lions, AK",4.039724856613718
"Key West, FL",4.036258196240473
"Koyuk, AK",4.010164569057095
"Clarks Point, AK",4.00587591260075
"Kipnuk, AK",3.9958884200396727
"Kitoi Bay, AK",3.9800706272889235
"Kiana, AK",3.979210726629807
"Burlington, VT",3.9729767880938582
"Golovin, AK",3.9572449499879454
"Eagle, CO",3.955947558445719
"Anvik, AK",3.954555828132978
"Elim, AK",3.953479089925004
"Thorne Bay, AK",3.9145438704648106
"Jackson/Vicksburg, MS",3.9136064913719366
"Nondalton, AK",3.912225781675823
"Bullhead City, AZ",3.9074335889418736
"Rota, TT",3.8463318605984576
"Alexandria, LA",3.820446043492107
"Manokotak, AK",3.8048378381901977
"Carlsbad, CA",3.7596328678887554
"Toksook, AK",3.731898386873949
"Perryville, AK",3.7187067635284654
"Hooper Bay, AK",3.665272560858621
"Moser Bay, AK",3.626607954203299
"Peach Springs, AZ",3.61636700718558
"Hydaburg, AK",3.604507408912062
"Block Island, RI",3.5836389728525724
"Peoria, IL",3.567246521688761
"Sheldon Point, AK",3.560987109406139
"Akiak, AK",3.550710585710673
"Jackson, WY",3.530641701266302
"Springfield, MO",3.516930333324784
"Scammon Bay, AK",3.476916889226792
"Bend/Redmond, OR",3.452095486326756
"Takotna, AK",3.4506674157166564
"Lexington, KY",3.439679161060601
"Kalispell, MT",3.423849430204691
"Tuluksak, AK",3.421564000362603
"Tinian, TT",3.406934533035253
"Morristown, NJ",3.3987933188290755
"Selawik, AK",3.3716589531697854
"Tallahassee, FL",3.3608920048222397
"Beluga, AK",3.359380267239602
"Togiak, AK",3.31551220294143
"Gary, IN",3.3074558517467967
"Nanwalek, AK",3.29293624005322
"Port Graham, AK",3.29293624005322
"Seldovia, AK",3.29293624005322
"Hayden, CO",3.2774405447749557
"Wainwright, AK",3.275225788597401
"Kongiganak, AK",3.2712310450491624
"Shageluk, AK",3.255762790369916
"Tanana, AK",3.247015404509257
"San Carlos, CA",3.2430978108140867
"Nightmute, AK",3.2085043855739515
"Chevak, AK",3.1945687756760552
"Kake, AK",3.189795476981845
"Allakaket, AK",3.1886663139566407
"Monterey, CA",3.186604695332752
"Hughes, AK",3.1777760814713556
"Holy Cross, AK",3.1771754619910815
"Camarillo, CA",3.176346618815576
"Temple, TX",3.1741769529371098
"Barter Island, AK",3.1537295833781616
"Dayton, OH",3.150910832918899
"Green Bay, WI",3.1308705142053603
"Kokhanok, AK",3.124980018467294
"Gambell, AK",3.107958852674584
"Pendleton, OR",3.1047135092131692
"Montrose/Delta, CO",3.0681747100102363
"Allentown/Bethlehem/Easton, PA",3.064909179486696
"Sleetmute, AK",3.0638881138777387
"Naples, FL",3.0620319809135275
"Mountain Village, AK",3.057536653318822
"Friday Harbor, WA",3.0346606071302245
"Koyukuk, AK",3.0266271239552625
"Panama City, FL",3.0239336565761117
"Pasco/Kennewick/Richland, WA",3.0086652870416257
"Hoonah, AK",2.9889622996082967
"Lazy Bay, AK",2.9827301803014725
"Igiugig, AK",2.966416796755845
"Ouzinkie, AK",2.9645372620272177
"Valparaiso, FL",2.9510664460232503
"Santa Rosa, CA",2.9323690321991687
"Mission/McAllen/Edinburg, TX",2.906781907106442
"Kwigillingok, AK",2.895967816245096
"Kalskag, AK",2.8621529912778247
"Islip, NY",2.853633509609539
"Missoula, MT",2.8098131450950166
"Sun Valley/Hailey/Ketchum, ID",2.809621030645929
"Wrangell, AK",2.804089048401467
"Port Bailey, AK",2.7439692607901973
"West Point, AK",2.7439692607901973
"Toledo, OH",2.7279020008434194
"Circle, AK",2.677816325613005
"Kobuk, AK",2.6654315649991362
"Tatitlek, AK",2.6613404409462618
"Olga Bay, AK",2.6592870667431203
"Port Williams, AK",2.6505176736275082
"Levelock, AK",2.6381449064388733
"Ugashik, AK",2.616916221128039
"Idaho Falls, ID",2.6021505076316847
"Appleton, WI",2.5893116938087015
"Bellingham, WA",2.586032523943433
"Newtok, AK",2.5849131106092007
"Christiansted, VI",2.5782713450703363
"White Mountain, AK",2.5609018186215953
"Akron, OH",2.5540606048647883
"Kwethluk, AK",2.5441358853394265
"Midland/Odessa, TX",2.5373636564188606
"Wales, AK",2.533882578685049
"Point Baker, AK",2.510530249713312
"Lansing, MI",2.509879564876592
"Chenega, AK",2.506257640291229
"Edna Bay, AK",2.503182564630287
"Savoonga, AK",2.478870885535327
"Baton Rouge, LA",2.4672654806736363
"East Farmingdale, NY",2.461855071229953
"Bettles, AK",2.4580620075645507
"Tenakee, AK",2.453171576121042
"Chalkyitsik, AK",2.4236012716945345
"Durango, CO",2.402774566051969
"Akhiok, AK",2.38235501955661
"Nuiqsut, AK",2.373885504092963
"Del Rio, TX",2.3713175589912137
"Birch Creek, AK",2.3636763792055038
"Carrabassett, ME",2.3160894043095586
"Deer Park, AK",2.313140610718196
"Yuma, AZ",2.2772892844590578
"Rapid City, SD",2.258409052440037
"Napaskiak, AK",2.254728971877549
"Martha's Vineyard, MA",2.241676281158242
"Chignik Lagoon, AK",2.239466037193649
"Pelican, AK",2.225909817774445
"Roanoke, VA",2.2223355594901175
"Karluk, AK",2.2182144372472217
"Bismarck/Mandan, ND",2.2117496977486577
"Chattanooga, TN",2.1929930784424854
"Haines, AK",2.190144867338436
"Angoon, AK",2.1870891096813723
"Norwood, MA",2.1631012481221563
"Stony River, AK",2.126021478980412
"Provo, UT",2.124100533787328
"Amarillo, TX",2.1219707170526325
"Bloomington/Normal, IL",2.0628229810212426
"Morrisville, VT",2.061529532811557
"Duluth, MN",2.0549612130632187
"Atqasuk, AK",2.0524838862793136
"Louisa, VA",2.0470397997261096
"Lafayette, LA",2.046589471467223
"Deering, AK",2.041296677703588
"Akiachak, AK",2.0294941839160083
"Montgomery, AL",2.023180621414272
"Wilmington, NC",2.018108206860064
"Twin Falls, ID",2.006980851656733
"Chignik Bay, AK",1.9952609353405582
"Chignik, AK",1.9952609353405582
"Belmar/Farmingdale, NJ",1.9915557558000108
"Twin Hills, AK",1.9549668464916088
"Arcata/Eureka, CA",1.9527174397293328
"Skagway, AK",1.944343735016517
"Crooked Creek, AK",1.9421732841125816
"Teller, AK",1.9419440593938795
